pid;best;worst;avg;avgConflicts
0;71.0;108.0;89.26;0
1;71.0;91.0;80.73;0
2;71.0;84.0;74.2;0
3;71.0;75.0;71.27;0
4;71.0;71.0;71.0;0
5;71.0;71.0;71.0;0
6;71.0;71.0;71.0;0
7;71.0;71.0;71.0;0
8;71.0;71.0;71.0;0
9;71.0;71.0;71.0;0
10;71.0;71.0;71.0;0
11;71.0;71.0;71.0;0
12;71.0;71.0;71.0;0
13;71.0;71.0;71.0;0
14;71.0;71.0;71.0;0
15;71.0;71.0;71.0;0
16;71.0;71.0;71.0;0
17;71.0;71.0;71.0;0
18;71.0;71.0;71.0;0
19;71.0;71.0;71.0;0
20;71.0;71.0;71.0;0
21;71.0;71.0;71.0;0
22;71.0;71.0;71.0;0
23;71.0;71.0;71.0;0
24;71.0;71.0;71.0;0
25;71.0;71.0;71.0;0
26;71.0;71.0;71.0;0
27;71.0;71.0;71.0;0
28;71.0;71.0;71.0;0
29;71.0;71.0;71.0;2
30;71.0;71.0;71.0;2
31;71.0;71.0;71.0;2
32;71.0;71.0;71.0;2
33;71.0;71.0;71.0;2
34;71.0;71.0;71.0;2
35;71.0;71.0;71.0;2
36;71.0;71.0;71.0;2
37;71.0;71.0;71.0;2
38;71.0;71.0;71.0;2
39;71.0;71.0;71.0;2
40;71.0;71.0;71.0;2
41;71.0;71.0;71.0;2
42;71.0;71.0;71.0;2
43;71.0;71.0;71.0;2
44;71.0;71.0;71.0;2
45;71.0;71.0;71.0;2
46;71.0;71.0;71.0;2
47;71.0;71.0;71.0;2
48;71.0;71.0;71.0;2
49;71.0;71.0;71.0;2
50;71.0;71.0;71.0;2
51;71.0;71.0;71.0;2
52;71.0;71.0;71.0;2
53;71.0;71.0;71.0;2
54;71.0;71.0;71.0;2
55;71.0;71.0;71.0;2
56;71.0;71.0;71.0;2
57;71.0;71.0;71.0;2
58;71.0;71.0;71.0;2
59;71.0;71.0;71.0;2
60;71.0;71.0;71.0;2
61;71.0;71.0;71.0;2
62;71.0;71.0;71.0;2
63;71.0;71.0;71.0;2
64;71.0;71.0;71.0;2
65;71.0;71.0;71.0;2
66;71.0;71.0;71.0;2
67;71.0;71.0;71.0;2
68;71.0;71.0;71.0;2
69;71.0;71.0;71.0;2
70;71.0;71.0;71.0;2
71;71.0;71.0;71.0;2
72;71.0;71.0;71.0;2
73;71.0;71.0;71.0;2
74;71.0;71.0;71.0;2
75;71.0;71.0;71.0;2
76;71.0;71.0;71.0;2
77;71.0;71.0;71.0;2
78;71.0;71.0;71.0;2
79;71.0;71.0;71.0;2
80;71.0;71.0;71.0;2
81;71.0;71.0;71.0;2
82;71.0;71.0;71.0;2
83;71.0;71.0;71.0;2
84;71.0;71.0;71.0;2
85;71.0;71.0;71.0;2
86;71.0;71.0;71.0;2
87;71.0;71.0;71.0;2
88;71.0;71.0;71.0;2
89;71.0;71.0;71.0;2
90;71.0;71.0;71.0;2
91;71.0;71.0;71.0;2
92;71.0;71.0;71.0;2
93;71.0;71.0;71.0;4
94;71.0;71.0;71.0;4
95;71.0;71.0;71.0;4
96;71.0;71.0;71.0;4
97;71.0;71.0;71.0;4
98;71.0;71.0;71.0;4
99;71.0;71.0;71.0;4
100;71.0;71.0;71.0;4
